City_Name,Total_Population,White_Alone,Black_or_African_American,Asian,Hispanic_or_Latino,Median_Household_Income,State_FIPS,Place_Code,Percentage_White
Weymouth Town city,56734,47806,3189,3880,2153,84942,25,78972,84.26340466034476
Winthrop Town city,18542,17229,403,177,1767,74069,25,81005,92.9187789882429
Belchertown CDP,2874,2568,15,190,150,78578,25,04790,89.35281837160751
Needham CDP,30970,26410,891,2757,999,165547,25,44140,85.2760736196319
Quincy city,94207,57581,4835,28602,2908,77562,25,55745,61.12178500536054
Abington CDP,16436,14856,331,599,430,99381,25,00135,90.38695546361645
Kingston CDP,6278,6071,2,0,332,90754,25,33185,96.70277158330678
Mattapoisett Center CDP,3354,3282,0,0,96,93826,25,39485,97.85330948121646
South Duxbury CDP,3629,3546,0,60,34,171324,25,63690,97.71286855883163
Wareham Center CDP,3205,2516,163,0,142,41250,25,73020,78.50234009360373
Cambridge city,116632,77111,12512,19421,11066,103154,25,11000,66.11478839426572
Pinehurst CDP,7283,6214,185,639,131,107159,25,53680,85.32198269943704
Bourne CDP,1408,1408,0,0,14,51595,25,07140,100.0
West Wareham CDP,2259,1927,93,0,101,52404,25,78410,85.30323151837096
Adams CDP,5335,5121,69,13,83,48252,25,00590,95.98875351452672
Great Barrington CDP,2070,1931,49,0,185,49368,25,26780,93.28502415458937
Ipswich CDP,4699,4297,199,85,168,65893,25,32275,91.444988295382
Lawrence city,79942,42232,4530,1363,64463,44613,25,34550,52.82830051787546
Nahant CDP,3502,3358,0,78,53,97778,25,43615,95.88806396344945
Milford CDP,26084,21132,423,733,4048,80371,25,41200,81.015181720595
South Lancaster CDP,1630,1494,18,102,221,66786,25,64460,91.65644171779141
Whitinsville CDP,7220,6116,265,148,408,77340,25,79495,84.70914127423823
Winchendon CDP,3999,3572,52,230,163,56773,25,80370,89.32233058264566
Sturbridge CDP,2243,2093,41,92,40,102059,25,68120,93.31252786446723
Danvers CDP,27586,25285,673,715,1394,89250,25,16285,91.6588124410933
Essex CDP,1393,1393,0,0,0,114479,25,21815,100.0
Rowley CDP,1629,1538,0,67,50,79554,25,58370,94.41375076734192
Salisbury CDP,5131,5029,0,0,206,78787,25,59210,98.01208341453908
Baldwinville CDP,1736,1625,0,42,174,77768,25,03355,93.60599078341014
Clinton CDP,7154,6230,362,10,1641,53972,25,14430,87.08414872798434
Cordaville CDP,3039,2464,18,472,12,167635,25,15340,81.07930240210595
Fitchburg city,40702,32703,2018,956,11712,57207,25,23875,80.34740307601592
Hopedale CDP,3363,3257,19,27,12,107278,25,30980,96.8480523342254
