Unique ID,Agency Name,Bureau Name,Program Name,Category,Subcategory,Project Name,City,County,State,Funding Amount Excluding Loans,Funding Source,Program Type,Project on Map,Historic ID,GEO_ID,Total_Population,One_Race,White_Alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_Other_Race_alone,Population_of_two_or_more_races,Median_household_income
,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,"Town of Abington, MA Planning and Demonstration Activities",abington,Plymouth,Massachusetts,301804.0,BIL,Discretionary,,,0600000US2502300170,17062,15892,14152,683,39,428,9,581,1170,106001
15591,Department of Homeland Security,Federal Emergency Management Agency,Building Resilient Infrastructure and Communities (Robert T Stafford Act Section 203(i)),Resilience,Resilience,Acton - Jenks Conservation Land Culvert Improvement,acton,Middlesex,Massachusetts,67500.0,BIL,Formula,Y,P-16587,0600000US2501700380,24021,22404,15320,595,27,6032,6,424,1617,137981
40746,Environmental Protection Agency,Office of Environmental Justice and External Civil Rights,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program,Environmental Remediation,Environmental Remediation,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program - Hitchcock Center for the Environment,amherst,Hampshire,Massachusetts,500000.0,IRA,Discretionary,Y,IRA-4900,0600000US2501501370,39263,35627,24770,2382,141,6995,14,1325,3636,56906
14900,Department of Transportation,Federal Motor Carrier Safety Administration,High Priority Activities Program,Transportation,Safety,Commercial Vehicle Safety: University of Massachusetts Amherst,amherst,Hampshire,Massachusetts,938616.0,BIL,Discretionary,Y,P-15878,0600000US2501501370,39263,35627,24770,2382,141,6995,14,1325,3636,56906
39012,Department of Agriculture,Rural Business-Cooperative Service,Rural Energy for America Program (REAP),"Clean Energy, Buildings, and Manufacturing",Clean Energy,FY23 9.6KW RM PV SOLAR,amherst,Hampshire,Massachusetts,11189.0,IRA,Discretionary,Y,IRA-3166,0600000US2501501370,39263,35627,24770,2382,141,6995,14,1325,3636,56906
18420,Department of Energy,Energy Efficiency and Renewable Energy,Wind Energy Tech Recycling Research & Development,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,"Wind Energy Technology Manufacturing Recycling Research, Development, and Demonstration Program - Amherst",amherst,Hampshire,Massachusetts,75000.0,BIL,Discretionary,Y,P-19516,0600000US2501501370,39263,35627,24770,2382,141,6995,14,1325,3636,56906
27033,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,amherst,Hampshire,Massachusetts,76440.0,BIL,Both,N,A-7074,0600000US2501501370,39263,35627,24770,2382,141,6995,14,1325,3636,56906
8322,Department of Transportation,Federal Highway Administration,University Transportation Centers (UTC) Program,Transportation,Public Transportation,University Transporation Center: University of Massachusetts Amherst,amherst,Hampshire,Massachusetts,3000000.0,BIL,Discretionary,Y,P-8541,0600000US2501501370,39263,35627,24770,2382,141,6995,14,1325,3636,56906
48937,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Clean School Bus Rebate Program,amherst,Hampshire,Massachusetts,600000.0,BIL,Discretionary,Y,,0600000US2501501370,39263,35627,24770,2382,141,6995,14,1325,3636,56906
27034,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,andover,Essex,Massachusetts,76430.0,BIL,Both,N,A-7075,0600000US2500901465,36569,34361,27167,769,32,5529,6,858,2208,153315
48938,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Clean School Bus Rebate Program,andover,Essex,Massachusetts,5000000.0,BIL,Discretionary,Y,,0600000US2500901465,36569,34361,27167,769,32,5529,6,858,2208,153315
