POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,CITY_TOWN,COUNTY,AREA_SQMI,SHAPE_AREA,SHAPE_LEN
02360,PLYMOUTH,NON UNIQUE,PLYMOUTH,54275,"PLYMOUTH, TOWN OF",PLYMOUTH,103.1403089,267132173.722,108508.650013
01230,GREAT BARRINGTON,NON UNIQUE,GREAT BARRINGTON,26780,"GREAT BARRINGTON, TOWN OF",BERKSHIRE,96.72656896,250520663.521,131086.916737
01223,BECKET,NON UNIQUE,BECKET,04510,"BECKET, TOWN OF",BERKSHIRE,86.59125138,224270311.507,75260.8777436
01034,GRANVILLE,NON UNIQUE,GRANVILLE,26640,"TOLLAND, TOWN OF",HAMPDEN,72.35022566,187386224.204,65075.322259
02346,MIDDLEBORO,NON UNIQUE,MIDDLEBORO,40780,"MIDDLEBOROUGH, TOWN OF",PLYMOUTH,72.14780071,186861946.012,71500.9634313
01366,PETERSHAM,NON UNIQUE,PETERSHAM,53085,"PETERSHAM, TOWN OF",WORCESTER,62.65331762,162271347.686,60333.456807
01201,PITTSFIELD,NON UNIQUE,PITTSFIELD,53960,PITTSFIELD,BERKSHIRE,61.94892049,160446967.502,75630.5912912
01339,CHARLEMONT,NON UNIQUE,CHARLEMONT,12470,"CHARLEMONT, TOWN OF",FRANKLIN,59.02825958,152882490.461,64407.7955143
01340,COLRAIN,NON UNIQUE,COLRAIN,14850,"COLRAIN, TOWN OF",FRANKLIN,58.54743839,151637169.309,58624.11312
02790,WESTPORT,NON UNIQUE,WESTPORT,77570,"WESTPORT, TOWN OF",BRISTOL,56.30997046,145842153.962,160678.235599
01007,BELCHERTOWN,NON UNIQUE,BELCHERTOWN,04790,"BELCHERTOWN, TOWN OF",HAMPSHIRE,55.29290537,143207967.467,61767.8603596
01237,LANESBOROUGH,NON UNIQUE,LANESBOROUGH,34330,"LANESBOROUGH, TOWN OF",BERKSHIRE,50.76702371,131485987.778,104611.419737
01267,WILLIAMSTOWN,NON UNIQUE,WILLIAMSTOWN,79950,"WILLIAMSTOWN, TOWN OF",BERKSHIRE,55.22803318,143039949.268,71721.7326886
01008,BLANDFORD,NON UNIQUE,BLANDFORD,06050,"BLANDFORD, TOWN OF",HAMPDEN,54.0591453,140012543.556,55368.7048162
01331,ATHOL,NON UNIQUE,ATHOL,02515,"ATHOL, TOWN OF",WORCESTER,58.08486951,150439121.405,66459.581259
01085,WESTFIELD,NON UNIQUE,WESTFIELD,76030,WESTFIELD,HAMPDEN,55.93892848,144881159.65,61329.5770997
01370,SHELBURNE FALLS,NON UNIQUE,SHELBURNE FALLS,61205,"SHELBURNE, TOWN OF",FRANKLIN,48.80405713,126401927.675,70885.011312
01235,HINSDALE,NON UNIQUE,HINSDALE,30280,"HINSDALE, TOWN OF",BERKSHIRE,47.75705167,123690196.007,49286.4049247
02747,NORTH DARTMOUTH,NON UNIQUE,NORTH DARTMOUTH,47450,"DARTMOUTH, TOWN OF",BRISTOL,47.49541385,123012557.147,66614.83542
02769,REHOBOTH,NON UNIQUE,REHOBOTH,56340,"REHOBOTH, TOWN OF",BRISTOL,47.36336756,122670558.837,63927.160888
01002,AMHERST,NON UNIQUE,AMHERST,01290,"AMHERST, TOWN OF",HAMPSHIRE,53.72931708,139158292.406,72106.4396881
01255,SANDISFIELD,NON UNIQUE,SANDISFIELD,59630,"SANDISFIELD, TOWN OF",BERKSHIRE,50.85483654,131713421.967,56886.485516
01247,NORTH ADAMS,NON UNIQUE,NORTH ADAMS,46225,NORTH ADAMS,BERKSHIRE,47.15753286,122137449.406,57107.7139262
01475,WINCHENDON,NON UNIQUE,WINCHENDON,80370,"WINCHENDON, TOWN OF",WORCESTER,44.33294497,114821800.354,44349.6666644
01507,CHARLTON,NON UNIQUE,CHARLTON,12680,"CHARLTON, TOWN OF",WORCESTER,43.99834318,113955185.685,46380.7652786
02035,FOXBORO,NON UNIQUE,FOXBORO,24750,"FOXBOROUGH, TOWN OF",NORFOLK,20.84156821,53979413.8541,31911.1000446
01740,BOLTON,NON UNIQUE,BOLTON,06330,"BOLTON, TOWN OF",WORCESTER,20.69450858,53598531.158,32011.0404518
01550,SOUTHBRIDGE,NON UNIQUE,SOUTHBRIDGE,63305,"SOUTHBRIDGE, TOWN OF",WORCESTER,20.65779621,53503446.5558,32843.7857602
01341,CONWAY,NON UNIQUE,CONWAY,15165,"CONWAY, TOWN OF",FRANKLIN,34.08553818,88281138.6127,42458.2354455
01562,SPENCER,NON UNIQUE,SPENCER,66070,"SPENCER, TOWN OF",WORCESTER,34.01579381,88100501.5264,40667.4627593
01590,SUTTON,NON UNIQUE,SUTTON,68575,"SUTTON, TOWN OF",WORCESTER,34.01245536,88091854.9819,47678.7078241
01096,WILLIAMSBURG,NON UNIQUE,WILLIAMSBURG,79880,"GOSHEN, TOWN OF",HAMPSHIRE,33.4528849,86642574.1349,59348.2899068
01450,GROTON,NON UNIQUE,GROTON,27445,"GROTON, TOWN OF",MIDDLESEX,33.31877202,86295223.3706,58024.2602209
01026,CUMMINGTON,NON UNIQUE,CUMMINGTON,16005,"CUMMINGTON, TOWN OF",HAMPSHIRE,26.65912327,69046812.2841,50949.7359801
02535,CHILMARK,NON UNIQUE,CHILMARK,13765,"CHILMARK, TOWN OF",DUKES,26.1158379,67639709.6349,69133.989656
01266,WEST STOCKBRIDGE,NON UNIQUE,WEST STOCKBRIDGE,77955,"WEST STOCKBRIDGE, TOWN OF",BERKSHIRE,25.8627596,66984239.8547,53903.0447121
01742,CONCORD,NON UNIQUE,CONCORD,15025,"CONCORD, TOWN OF",MIDDLESEX,25.6396045,66406270.8005,79552.5594141
01259,SOUTHFIELD,NON UNIQUE,SOUTHFIELD,63830,"NEW MARLBOROUGH, TOWN OF",BERKSHIRE,25.27478424,65461390.6712,42019.7673629
01516,DOUGLAS,NON UNIQUE,DOUGLAS,17265,"DOUGLAS, TOWN OF",WORCESTER,38.16715,98852464.7002,45762.5405877
01430,ASHBURNHAM,NON UNIQUE,ASHBURNHAM,01850,"ASHBURNHAM, TOWN OF",WORCESTER,38.04726038,98541951.9901,45726.3816588
01257,SHEFFIELD,NON UNIQUE,SHEFFIELD,61030,"SHEFFIELD, TOWN OF",BERKSHIRE,38.03045342,98498422.172,56138.0543069
01364,ORANGE,NON UNIQUE,ORANGE,51230,"ORANGE, TOWN OF",FRANKLIN,37.79580104,97890675.2897,59943.2017563
01378,WARWICK,NON UNIQUE,WARWICK,73230,"WARWICK, TOWN OF",FRANKLIN,37.64549678,97501389.0567,43943.1915406
01541,PRINCETON,NON UNIQUE,PRINCETON,55360,"PRINCETON, TOWN OF",WORCESTER,37.64220073,97492852.3178,48983.3903126
01473,WESTMINSTER,NON UNIQUE,WESTMINSTER,76975,"WESTMINSTER, TOWN OF",WORCESTER,36.87329445,95501394.1907,55711.1084757
02554,NANTUCKET,NON UNIQUE,NANTUCKET,43755,"NANTUCKET, TOWN OF",NANTUCKET,36.79770817,95305626.6322,174336.083404
